[18:09:54] === session 2026-08-23 | cap 11ms pipe=0 ===
[18:16:00] [xiii-perf] present=327 captured=301 skipped=26 (cap 11ms pipe=0) | us avg/max: copy=1398/5507 lock=0/1 decode=879/3142 submit=457/1832
[18:16:05] [xiii-perf] present=327 captured=304 skipped=23 (cap 11ms pipe=0) | us avg/max: copy=1506/5886 lock=0/8 decode=850/2534 submit=516/2604
[18:16:10] [xiii-perf] present=329 captured=293 skipped=36 (cap 11ms pipe=0) | us avg/max: copy=1428/5874 lock=0/1 decode=838/2361 submit=503/2384
[18:16:15] [xiii-perf] present=325 captured=300 skipped=25 (cap 11ms pipe=0) | us avg/max: copy=1414/5771 lock=0/1 decode=869/3431 submit=505/2072
[18:16:20] [xiii-perf] present=327 captured=293 skipped=34 (cap 11ms pipe=0) | us avg/max: copy=1470/5791 lock=0/1 decode=842/3079 submit=537/2636
[18:16:25] [xiii-perf] present=327 captured=300 skipped=27 (cap 11ms pipe=0) | us avg/max: copy=1456/5276 lock=0/9 decode=861/2381 submit=543/3545
[18:16:30] [xiii-perf] present=331 captured=297 skipped=34 (cap 11ms pipe=0) | us avg/max: copy=1303/4033 lock=0/10 decode=874/2616 submit=510/2656
[18:16:35] [xiii-perf] present=328 captured=303 skipped=25 (cap 11ms pipe=0) | us avg/max: copy=1427/6235 lock=0/5 decode=849/2589 submit=548/3269
[18:16:40] [xiii-perf] present=326 captured=298 skipped=28 (cap 11ms pipe=0) | us avg/max: copy=1427/6101 lock=0/137 decode=836/2335 submit=575/2743
[18:16:45] [xiii-perf] present=328 captured=298 skipped=30 (cap 11ms pipe=0) | us avg/max: copy=1454/5817 lock=0/1 decode=873/2565 submit=543/2839
[18:16:50] [xiii-perf] present=327 captured=302 skipped=25 (cap 11ms pipe=0) | us avg/max: copy=1477/4003 lock=0/4 decode=854/2980 submit=519/2727
[18:16:55] [xiii-perf] present=333 captured=298 skipped=35 (cap 11ms pipe=0) | us avg/max: copy=1470/3999 lock=0/1 decode=898/2796 submit=554/2348
[18:17:00] [xiii-perf] present=331 captured=295 skipped=36 (cap 11ms pipe=0) | us avg/max: copy=1531/4054 lock=0/15 decode=886/2770 submit=515/2268
[18:17:05] [xiii-perf] present=328 captured=294 skipped=34 (cap 11ms pipe=0) | us avg/max: copy=1509/5614 lock=0/2 decode=872/2653 submit=583/2537
[18:17:10] [xiii-perf] present=330 captured=302 skipped=28 (cap 11ms pipe=0) | us avg/max: copy=1531/8496 lock=0/4 decode=861/2427 submit=553/2465
[18:17:15] [xiii-perf] present=332 captured=303 skipped=29 (cap 11ms pipe=0) | us avg/max: copy=1494/5584 lock=0/17 decode=892/2708 submit=474/1867
[18:17:20] [xiii-perf] present=330 captured=299 skipped=31 (cap 11ms pipe=0) | us avg/max: copy=1566/5177 lock=0/9 decode=870/2548 submit=488/3020
[18:17:25] [xiii-perf] present=331 captured=296 skipped=35 (cap 11ms pipe=0) | us avg/max: copy=1588/6707 lock=0/5 decode=852/3074 submit=460/2682
[18:17:30] [xiii-perf] present=329 captured=295 skipped=34 (cap 11ms pipe=0) | us avg/max: copy=1491/6107 lock=0/1 decode=866/2731 submit=449/2982
[18:17:35] [xiii-perf] present=327 captured=295 skipped=32 (cap 11ms pipe=0) | us avg/max: copy=1597/6915 lock=0/1 decode=870/3289 submit=472/1765
[18:17:40] [xiii-perf] present=327 captured=302 skipped=25 (cap 11ms pipe=0) | us avg/max: copy=1495/6191 lock=0/1 decode=858/2550 submit=546/2513
[18:17:45] [xiii-perf] present=332 captured=303 skipped=29 (cap 11ms pipe=0) | us avg/max: copy=1518/5493 lock=0/9 decode=876/3043 submit=529/3240
[18:17:50] [xiii-perf] present=325 captured=297 skipped=28 (cap 11ms pipe=0) | us avg/max: copy=1572/5622 lock=0/9 decode=895/2954 submit=516/2452
[18:17:55] [xiii-perf] present=329 captured=302 skipped=27 (cap 11ms pipe=0) | us avg/max: copy=1538/5828 lock=0/1 decode=919/2735 submit=585/2806
[18:18:00] [xiii-perf] present=325 captured=290 skipped=35 (cap 11ms pipe=0) | us avg/max: copy=1494/3986 lock=0/1 decode=877/2388 submit=509/2868
[18:18:05] [xiii-perf] present=330 captured=296 skipped=34 (cap 11ms pipe=0) | us avg/max: copy=1433/4518 lock=0/4 decode=900/2596 submit=582/2488
[18:18:10] [xiii-perf] present=326 captured=292 skipped=34 (cap 11ms pipe=0) | us avg/max: copy=1475/5768 lock=0/121 decode=856/2643 submit=551/2629
[18:18:15] [xiii-perf] present=328 captured=298 skipped=30 (cap 11ms pipe=0) | us avg/max: copy=1514/5686 lock=0/1 decode=866/2611 submit=529/2508
[18:18:20] [xiii-perf] present=326 captured=302 skipped=24 (cap 11ms pipe=0) | us avg/max: copy=1572/6010 lock=0/2 decode=879/2914 submit=480/2960
[18:18:25] [xiii-perf] present=326 captured=303 skipped=23 (cap 11ms pipe=0) | us avg/max: copy=1483/4977 lock=0/5 decode=866/2333 submit=556/2623
